적재_연월,횡단보도 위치 도로 명칭,횡단보도 소재 도로명 주소,횡단보도 소재 지번 주소,횡단보도 종류 구분 정보,횡단보도 자전거 횡단도 겸용 여부,횡단보도 고원식 적용 여부,횡단보도 위치 위도 좌표정보,횡단보도 위치 경도 좌표정보,횡단보도 위치 도로 차로 수,횡단보도 폭 정보,횡단보도 연장길이 정보,횡단보도 보행자신호등 유무,횡단보도 보행자작동신호기 유무,횡단보도 음향신호기설치 유무,횡단보도 녹색신호 시간,횡단보도 적색신호 시간,횡단보도 교통섬 유무,횡단보도 보도턱낮춤 여부,횡단보도 점자블록여부,횡단보도 집중조명시설 유무,관리기관 명칭,관리기관 전화번호,데이터 작성 기준일자 정보
202604,어울로,,세종특별자치시한솔동1227,1,,Y,36.4807060000,127.2504530000,6,5.3,24.4,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,어울로,,세종특별자치시한솔동1227,1,,Y,36.4805940000,127.2504610000,4,5.3,18.7,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,어울로,,세종특별자치시한솔동1227,1,,Y,36.4806500000,127.2506420000,3,5.3,15.7,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,장기로,,세종특별자치시장군면봉안리508,99,,Y,36.4989520000,127.2259650000,6,5.3,26.0,Y,,,,,Y,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,장기로,,세종특별자치시장군면봉안리508,99,,Y,36.4989390000,127.2257980000,2,5.3,9.0,Y,,,,,Y,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동1366,1,,N,36.5149450000,127.2299700000,3,5.3,13.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,달빛로,,세종특별자치시아름동1458,1,,Y,36.5096370000,127.2497310000,2,5.3,15.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,달빛로,,세종특별자치시아름동1458,1,,Y,36.5096370000,127.2497310000,5,5.3,17.0,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,달빛1로,,세종특별자치시아름동1471,1,,Y,36.5149190000,127.2457780000,3,5.3,10.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,세종로,,세종특별자치시종촌동640,1,,N,36.5054520000,127.2412000000,6,5.3,20.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,갈매로,,세종특별자치시어진동654,1,,N,36.4966100000,127.2637470000,7,5.3,23.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,갈매로,,세종특별자치시어진동654,1,,N,36.4965040000,127.2634520000,7,5.3,23.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,보듬6로,,세종특별자치시도담동922,1,,N,36.5160010000,127.2626550000,5,5.3,17.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,보듬6로,,세종특별자치시도담동922,1,,N,36.5161130000,127.2625050000,5,5.3,11.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,가름로,,세종특별자치시종촌동710,1,,N,36.4992250000,127.2495090000,9,5.3,29.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,보듬8로,,세종특별자치시도담동908,1,,N,36.5181680000,127.2621580000,4,5.3,14.1,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,보듬8로,,세종특별자치시도담동908,1,,N,36.5179630000,127.2619580000,3,5.3,9.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,보듬8로,,세종특별자치시도담동908,1,,N,36.5179760000,127.2622290000,5,5.3,16.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,가름로,,세종특별자치시종촌동710,1,,N,36.4992550000,127.2490280000,6,5.3,21.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,가름로,,세종특별자치시종촌동710,1,,N,36.4991390000,127.2490130000,9,5.3,29.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,가름로,,세종특별자치시종촌동710,1,,N,36.4991000000,127.2494850000,5,5.3,19.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,나리로,,세종특별자치시한솔동1249,1,,N,36.4786170000,127.2617800000,5,5.3,23.1,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,나리로,,세종특별자치시한솔동1249,1,,N,36.4784390000,127.2614940000,2,5.3,11.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,누리로,,세종특별자치시한솔동1229,1,,N,36.4754540000,127.2524950000,2,5.3,11.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,갈매로,,세종특별자치시어진동654,1,,N,36.4968140000,127.2632010000,7,5.3,24.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,갈매로,,세종특별자치시어진동654,1,,N,36.4969320000,127.2635930000,5,5.3,17.1,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동산95,1,,N,36.5194910000,127.2342160000,5,5.3,10.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
